Station,Latitude,Longitude,Elevation,Abbreviation
231037,39.4247,-93.1331,201.8,MO
231364,36.1686,-89.6642,82.3,MO
231711,38.395,-93.7711,234.7,MO
231822,40.2394,-94.6833,337.7,MO
232289,36.6206,-90.8125,88.1,MO
232809,37.7922,-90.4103,282.9,MO
234271,38.585,-92.1825,204.2,MO
234705,37.4994,-94.2697,298.7,MO
234825,37.685,-92.6936,389.8,MO
234850,38.8803,-94.3358,304.8,MO
234904,39.1828,-93.855,251.5,MO
235027,37.3908,-93.9489,326.1,MO
235253,37.3036,-89.9664,118.9,MO
235541,39.1756,-91.8861,244.4,MO
235671,39.4194,-92.4369,262.1,MO
235834,37.1528,-92.2636,442,MO
235976,36.8639,-94.36,308.2,MO
237263,37.9572,-91.7758,355.7,MO
237963,40.2472,-93.7158,266.7,MO
238051,39.9714,-91.8872,210.3,MO
238223,38.9664,-93.4194,205.7,MO
238466,38.2581,-93.3989,192.6,MO
238523,40.475,-93.0031,323.1,MO
238725,38.835,-91.1386,252.1,MO
240199,46.1314,-112.9569,1609.3,MT
240364,47.4931,-112.3964,1240.5,MT
240780,45.8328,-109.9503,1249.7,MT
241044,45.6622,-111.0453,1497.5,MT
241552,47.2194,-111.71,1024.1,MT
241722,48.5883,-109.2256,737.6,MT
241737,47.8206,-112.1919,1172,MT
242173,48.6033,-112.3753,1169.8,MT
242409,45.2128,-112.6447,1593.5,MT
242689,45.8903,-104.5461,1043.9,MT
242793,45.3394,-111.7111,1509.7,MT
243013,46.8511,-108.3133,954.9,MT
243089,48.7778,-107.4536,792.2,MT
243110,48.4983,-109.7972,796.4,MT
243139,48.7783,-114.8997,914.4,MT
243558,48.2139,-106.6214,696.5,MT
243581,47.1064,-104.7183,632.8,MT
243751,47.4733,-111.3822,1116.8,MT
243885,46.2553,-114.1642,1080.5,MT
244038,44.8667,-111.3392,1977.8,MT
244055,46.6056,-111.9636,1166.8,MT
244345,45.9228,-108.2444,924.8,MT
244364,45.9353,-107.1375,944.9,MT
244522,47.3144,-106.9103,798.6,MT
244558,48.3042,-114.2636,901.3,MT
245015,48.4036,-115.5392,638.9,MT
245080,45.4836,-110.5689,1484.4,MT
245338,48.3939,-107.7286,680,MT
245572,48.4828,-104.4514,591.9,MT
245668,46.7614,-104.9619,757.1,MT
245690,46.4267,-105.8825,799.8,MT
245761,47.0575,-109.9514,1310.6,MT
246157,45.4856,-111.6325,1446.3,MT
246472,46.3158,-113.3,1606.3,MT
246601,46.4178,-104.5164,847.3,MT
246918,45.1797,-109.2497,1718.2,MT
247286,47.315,-114.0983,883.9,MT
247318,47.3033,-115.0908,810.8,MT
247382,47.4536,-104.3378,602,MT
248501,48.3089,-112.2511,1161.3,MT
248569,47.88,-105.3686,696.2,MT
248597,45.2925,-111.9481,1759.6,MT
248857,44.65,-111.1,2029.7,MT
248930,46.5436,-110.9,1536.2,MT
250070,41.6867,-98.0036,545.6,NE
250130,42.1103,-102.8967,1217.4,NE
250375,41.0406,-96.3775,326.1,NE
250420,42.5136,-99.0303,637,NE
250435,40.3703,-95.7467,283.5,NE
250622,40.2994,-96.75,395.3,NE
250640,40.1306,-99.8278,658.4,NE
251145,41.6675,-103.1042,1117.4,NE
251200,41.4083,-99.675,762,NE
252020,40.6194,-96.9469,437.4,NE
252100,40.6742,-100.4936,829.4,NE
252205,41.2492,-97.1328,490.7,NE
252820,40.0739,-97.1669,411.5,NE
252840,40.6422,-97.5928,499.9,NE
253035,40.1,-98.9667,565.4,NE
253175,40.5314,-97.5964,496.8,NE
253185,41.4514,-97.7644,484.6,NE
253365,40.94,-100.1522,787.9,NE
253615,42.6858,-103.8842,1478.3,NE
253630,42.6167,-97.2608,417.6,NE
253660,40.6475,-98.3833,591.3,NE
253715,42.5119,-102.6944,1159.8,NE
253735,40.175,-97.5903,451.1,NE
253910,40.4517,-99.3803,707.1,NE
254110,40.5208,-101.655,999.7,NE
254440,41.2453,-103.6344,1435,NE
254900,41.1489,-102.6361,1168,NE
254985,41.2808,-98.9681,627.3,NE
255080,41.8292,-97.45,481.6,NE
255310,40.2156,-100.6203,796.1,NE
255470,42.9194,-101.7089,986,NE
255565,40.5156,-98.9514,658.4,NE
256040,41.4933,-98.7747,597.4,NE
256135,42.0678,-97.9675,521.2,NE
256570,40.1217,-96.1558,378,NE
256970,42.065,-100.2472,819.9,NE
257070,40.0978,-98.5197,524.3,NE
257515,41.2686,-98.4697,541,NE
257715,40.9,-97.0908,438.9,NE
258133,41.4581,-100.5986,911.4,NE
258395,40.6825,-96.1886,335.3,NE
258465,40.3544,-96.1939,338.3,NE
258480,41.7861,-96.2264,338.3,NE
258915,42.2667,-96.8617,423.7,NE
259090,40.8639,-96.1414,335.3,NE
259510,40.8678,-97.5922,490.7,NE
260507,39.4931,-117.0675,2066.5,NV
260691,40.6117,-116.8917,1373.1,NV
261071,35.98,-114.8464,762,NV
262573,40.8289,-115.7886,1533.1,NV
262780,39.4572,-118.7811,1208.5,NV
263245,40.9567,-117.4922,1339.3,NV
264698,40.1906,-118.4767,1211.6,NV
264950,39.4136,-114.7733,1911.1,NV
265168,38.3844,-118.1056,1391.7,NV
266779,39.4839,-119.7711,1344.2,NV
267369,35.4661,-114.9217,1079,NV
268988,41.1006,-114.9736,1737.4,NV
269171,40.9017,-117.8081,1309.4,NV
270706,44.3061,-71.6575,359.7,NH
272174,43.15,-70.95,24.4,NH
272999,45.0875,-71.2872,506,NH
273850,43.7031,-72.2847,183.8,NH
274399,42.9389,-72.3244,158.5,NH
280325,39.3792,-74.4242,3,NJ
280734,40.8292,-75.0836,80.2,NJ
280907,40.9,-74.4,85.3,NJ
281582,41.0347,-74.4233,231.6,NJ
283029,40.5631,-74.8831,79.2,NJ
283951,40.265,-74.5642,30.5,NJ
284229,39.8144,-74.7883,30.5,NJ
284987,40.2797,-74.0047,9.1,NJ
285728,39.9511,-74.9697,13.7,NJ
286055,40.4719,-74.4364,26.2,NJ
287079,40.6036,-74.4025,27.4,NJ
288816,39.95,-74.2167,30.5,NJ
290692,36.835,-108.0006,1720.3,NM
290858,35.5297,-104.0936,1371.6,NM
291469,32.3478,-104.2225,951,NM
291515,33.6308,-105.8964,1647.4,NM
291664,36.9178,-106.5781,2392.7,NM
291813,36.4661,-104.9456,1993.4,NM
291887,36.4486,-103.1539,1511.8,NM
292608,36.9358,-107,2070.5,NM
292848,33.1461,-107.1844,1394.8,NM
293265,32.7939,-108.1517,1872.1,NM
293294,34.4667,-104.2319,1226.8,NM
293368,32.2261,-108.0867,1365.2,NM
294369,35.7783,-106.6872,1908.7,NM
294426,32.6169,-106.7411,1300.3,NM
